timestamp,tweet_text,username,followers_count
2020-10-25 11:56:19,"b'@barandbench @sanjukta @TimesNow These channel Times Now ,#RepublicTV or #Aajtak r Terrorist Organisation'",b'sunilfois',205
2020-10-25 11:47:05,b'Official Dashboard #DelhiCapitals  #addiction  #anjanaomkashyap #aajtak #Google #YouTuber https://t.co/mgDblLA7lh',b'NeerajB38218145',4
2020-10-25 11:40:51,b'#zeeMedia #Aajtak #RepublicBharat media is 4th piller but never asked such question why ? Bihar vs Gujarat in 15 years',b'achyut45',13
2020-10-25 11:09:16,b'Shame on #aajtak #IndiaTodayTRPchor and # https://t.co/2Ds1Xt3680',b'amiramishra1',1
2020-10-25 11:08:50,b'#aajtak please correct this if you can .Just FYI https://t.co/QtRKTGLaMF',b'chef_abhi88',1
2020-10-25 11:00:16,"b'#ZeeNews, #IndiaTV, #AajTak, #ABPNews, #NewsNation, #News18, #TimeNow, #IndiaToday, #SudarshanNews  Show this news.  Call all #LibralPigs in your #Debate https://t.co/OydTywgwZ7'",b'MukeshDolia',1457
2020-10-25 10:55:22,b'#zeenews #aajtak #indiatv #timesnow. Ab ye trp case me cbi oppose kar rahe hai. Now these liar channel is scared. Such a same in India that these type of sold media are broadcasting news #shameonzeenews+aajtak',b'Kaushal18983567',0
2020-10-25 10:43:33,b'#aajtak lost your and nba credibility. Will stop watching your channels in future.',b'KatarukaSitaram',1
2020-10-25 10:34:04,"b""@OpIndia_in @animesh13666 #BoycottTOI #AAJTAK FOR MISLEADING Indians they should be ban in India don't by there papers""",b'ABHI65254272',15
2020-10-25 10:30:00,"b'#NBSA orders apology from #AajTak, #ZeeNews #News24, #IndiaTV for insensitive reporting on #SushantSinghRajputDeathCase #SushantSinghRajput #FakeTRP #FakeNews   https://t.co/AwAKSO9tgn'",b'FreeVoiceIN',189
2020-10-25 10:06:32,b'Today i stepped out of my house. I found smog everywhere. Request @cmohry and @PMOIndia @narendramodi  to ban crackers atleast this diwali. Would be great to benefit environment as well. #Diwali2020 #diwalifestiveseason #nocrackersthisdiwali #aajtak',b'Pratibhaarora14',5
2020-10-25 09:46:22,b'@chitraaum Shame on #aajtak',b'ameethkumarjha',62
2020-10-25 09:37:22,b'@Vishala15367281 #PMModi #zeenews #arvindkejriwal Seeking your kind intervention. We have the data of thousands and thousands investors who is waiting for the resolution. Please help.#RepublicBharat #ABPnews #aajtak',b'GoravGoswami16',0
2020-10-25 09:21:57,b'#Aajtak enters Bangla market with launch of exclusive web edition Visit https://t.co/5qjkv307Pv for more  @AajTakBangla https://t.co/sRlIZ1Egwm',b'IndiaToday',5396258
2020-10-25 09:12:56,"b""Can't believe. You are my sister.... Happy deshahra.. #shwetasinghaajtak #aajtak https://t.co/HzC9Z251FO""",b'AyushYishu2',0
2020-10-25 08:55:28,"b'Now Aaj Tak, Zee News News24 have been officially called out for their fakery  Great going #aajtak #zeenews https://t.co/1vF9mXkfD9'",b'ChankyaBihar',2251
2020-10-25 08:34:41,"b'This is a #sundaybest post: Someone definitely vocal for local, but no more Mahindra now! #anandmahindra #alturasg4 #Mahindra #CustomerService #CustomerExperience #AjayDevgn #defective #consumers #aajtak #NewsOfTheWorld #RoadSafety #protection #vishweshchauha3 #devis4u2 #reepal8 https://t.co/DueEb7CBV7'",b'Paras97824793',7
2020-10-25 08:34:28,"b""#indianfestival #Indian Sadly lot of Indian families won't be able to celebrate #Dusherra2020 nor #Diwali2020 #IndianMedia #ModinomicsDestroysIndia #modifailsindia #aajtak @sardanarohit @sudhirchaudhary #indianeconomy   https://t.co/7f4ZbvbQqm https://t.co/46C9JREBbq""",b'FrustratedinUS',38
2020-10-25 07:45:52,b'What is this @aajtak ?? Is this your back screen compromise?? @sardesairajdeep enjoying the kukur mut by clapping. #aajtak https://t.co/LbgK7n9vGV',b'sazldvroy',7297
2020-10-25 07:17:25,b'@DeepikaSRajawat #GodiMedia #NBSA #aajtak #RepublicBharat #RepublicTV #ArnabGoswamy #ZeeNews #TimesNow #navikakumar #FakeNews #SushantSinghRajput #BiharElections  Triumph of Truth over Evil! #GodiMedia asked to air a public apology!\xe2\x9c\x8a &amp; Share exact words of apology #NBSA #Dussehra',b'Peace_Nirvana1',265
2020-10-25 07:10:19,"b'This is horrible in #India. Indian unemployed youth are committing mass suicides, since 2017. 2020 #pandemic is making it worse. #Media are busy with celebrities suicides #zeenews #aajtak  Government ignores @narendramodi @PMOIndia @AskAnshul @nsitharaman @RahulGandhi #BJP #India https://t.co/pgcECUsmsY'",b'FrustratedinUS',38
2020-10-25 06:40:02,"b'Can a headline get more conceited than this, #aajtak? @HinduJagrutiOrg @People4Dharma @ajay991745 @ExLiberal_ @BasicRights2020 @Bou_rgeois @AdvKhush @ShivkiP @advmonikaarora  https://t.co/uMtYRGw38Y'",b'shashi_talk',32
2020-10-25 06:34:05,"b""@SushantBSinha Favourite Hindi news channels #RepublicBharat #TimesNow #RepublicTV because these are independent and 100% free,fearless giving true news.Third rate garbage are #KhanMarketGang's #ndtv #aajtak #IndiaToday #ABP @sardesairajdeep @sagarikaghose #PaidMedia""",b'DerhgawenUsha',8
2020-10-25 06:11:47,"b'Happy Maha Navami and Dussehra to my family and friends. May Maa Durga give us happiness, health, peace, and Prosperity. ""Jai Mata Di"" \xf0\x9f\x99\x8f\xf0\x9f\x92\x90 #HappyNavratri #HappyDussehra ##matakiaarti  https://t.co/1QEAJjdk8R #RepublicBharat  #aajtak #TheTimesofIndia  #IndiaTV #News24  #ZeeNews https://t.co/qeRnP8t2fX'",b'VijayaSinha',64
2020-10-25 05:59:38,"b'#IndiaTv, #ZeeNews, #TimesNow, #IndiaToday, #AajTak, #ABPnews are joined with #NBA. It seems #NBA is #SoldOutToDruggeBollywood. #DawoodMafia https://t.co/xi4YrvHjSZ'",b'MukeshDolia',1457
2020-10-25 05:44:59,"b'1/2 #aajtak #ABPnews #betibachchao Today Its Kanya Pujan ... Everyone searching for girl child to worship them and get blessings....Irony is.. Jab paida karna hota hai tab ladka hi chahiye, bahut saare mard Saal ke 364 days Ladkiyon ka rape karte hain (either actual or visual)...'",b'sushmitarishik2',2
2020-10-25 05:41:35,b'You will always remain #1 already stopped watching @ZeeNews @IndiaToday @TimesNow @aajtak @indiatvnews #ZeeNews #IndiaToday #aajtak #ISupportArnab https://t.co/dQK80I27Ew',b'vishal011278',120
2020-10-25 05:37:40,"b'@LiveLawIndia @republic @Republic_Bharat #India #Indians disapprove the NBA commentary, which is quick to point fingers @Republic_Bharat @republic #Arnab - but does not mention the fine imposed by 2 industry bodies on #IndiaToday &amp; #AajTak. Amazing hypocrisy! Woke up too late, eh NBA ?'",b'AshokShreeji',2
2020-10-25 05:27:06,"b'Media freedom fighters are silent against Mah Govt gagging of Republic #aajtak, #ZeeNews #NDTV ... What about the fight of freedom of most important pillar of democracy??? Intellectuals of this country must reply this question otherwise yr every stand  was just self service.'",b'BMSingh94603327',9
2020-10-25 05:17:52,b'@SushantBSinha #Ndtv or #Aajtak me tie h',b'navneetbhai',305
2020-10-25 05:04:50,b'List of bikau media and jihadi media channels Aaj tak Abp news Zee news India tv Only @republic Is best.....\xe2\x9c\x8a\xe2\x9c\x8a #Aajtak',b'Parisingh1235',2
2020-10-25 05:03:45,"b'#aajtak @aajtak #IndiaToday @IndiaToday Enjoy your #2minute fame on 8pm, 27th October https://t.co/zl5moK142R'",b'Shreya26Sinha',74
2020-10-25 05:02:01,"b'#aajtak Trp chaie thi!  8pm, 27th October ko milegi 2 minutes fame..  \xf0\x9f\x98\x82 \xf0\x9f\x98\x82  #shameless act  @aajtak https://t.co/CXe5ih4KJS'",b'Shreya26Sinha',74
2020-10-25 05:00:00,"b'. The claim made by AajTak is false therefore always Verify the information before believing it. TNS Fact Check- Know your news, speak the truth.  . .  . #fakenews #factcheck #newsalert #knowyournews #aajtak  #mohammedalijinnah  #aligarhmuslimuniversity  #thenewsstand https://t.co/BSB9q1VQtD'",b'thenewsstand_in',178
2020-10-25 04:59:54,"b'@republic Apko viewers ki kasam #Arnab ji, #aajtak #IndiaToday walon ki public apology breaking news pe chalana \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd lyk these vultures had shown u after #ParambirSingh fake media interview on TRP scam.'",b'Appu_Jr1',95
2020-10-25 04:56:37,"b""Didn't Republic TV Tarnish the image of Rea Chakrabarty without finding facts and making her a scapegoat. #aajtak""",b'AjayGup23206330',13
