timestamp,tweet_text,username,followers_count
2020-10-24 12:36:12,"b'#Republic Literacy? Constitution and Parliamentary Democracy REDUNTANT if Persons who Constitution NOT QUULIFIED FOR THE TASK? RPACt, 1951 lists Disqualifications! Union Government and States Governments ILLEGAL? FIRST THING FIRST! EMERGENCY? EMERGENCY MEASURES? Please! At once?'",b'MangalSainHanda',132
2020-10-24 12:28:35,b'A constitutional #republic is a type of government. #WeThePeople have been independent of all types of governments since the Declaration of Independence. Our decisions are unreviewable by any government after we were endowed inalienable rights by the Creator.  #ElectoralCollege',b'StephenJett2',2
2020-10-24 12:28:18,b'@eoinyk Import duty taxes will also apply to goods from #UK arriving in #Republic and major delays will be noticed after huge stocks of long life food etc stored in warehouses here have been sold  Question : will taxes be imposed on 1 Jan 2022 even if goods are here already? @conor_pope',b'Francophile_IRL',57
2020-10-24 12:13:42,"b'Can you imagine how many more #USA citizens will die from #covid19 #pandemic if @realDonaldTrump is re-elected? A #republic #democracy with a self-obsessed, denialist @POTUS with no plan to save lives, stem the spread of infection. He &amp; his @GOP @FoxNews cult are deluded. Tragic.'",b'MediaActive',2905
2020-10-24 12:13:10,b'This is a #powerful documentary #how #Communist are #weaponising #our #private #data. #TikTok #China #election #American #Republic #vs CCP #Documentary | #ZOOMINGIN #SPECIAL https://t.co/2SgNuN8XIs',b'kukiszabolcs',407
2020-10-24 12:13:03,b'WHY NOT GOVT. OF INDIA \xe2\x9d\x93  Wonder if @AmitShah @narendramodi say something  or allow this as usual \xe2\x81\x89\xef\xb8\x8f COMPLAINT AGAINST MUFTI #REPUBLIC @republic https://t.co/QT2vAdYADK',b'GprasadadvGopal',2062
2020-10-24 11:58:09,b'@arnab5Goswami #RepublicWitchhunt #republic hi Arnab .You are the man with real guts.Hats off to your courage and your attitude which is inspiring your entire team.Keep it up man.And the best part is that your team is standing with you. And shame on other media who are not coveri',b'GandhiKevan',4
2020-10-24 11:47:43,b'Mumbai police and govt of Mah. Actions speaks loud and it\xe2\x80\x99s confirmed with there  actions that there is something big under the carpet . #republic was able to unearth it . And now they are shaking .Commissioner  I m republic \xf0\x9f\x91\x8a\xf0\x9f\x91\x8a https://t.co/NMQJUrGceS',b'arvind744',4
2020-10-24 11:44:22,b'@Reuters An Islamic #republic!    Islam  has nothing to do with republic regime. Iran is where a Guru rules alone and decides who run for presidency election  .',b'LCSpb',218
2020-10-24 11:43:49,b'#cheatersGonnaCheat #PA #Democrat #Judge helping to #destroy our #Republic https://t.co/XkLD41SxsN',b'LizHersch1',209
2020-10-24 11:40:54,b'@republic Yes ....very first action should be to put him into jail. We are with you #Republic. #ParamBirScam',b'ArvindO86837145',16
2020-10-24 11:33:56,"b'@republic #ParamBirScam BARC is right. @Dr_Uditraj It has not named #Republic, please enlighten yourself before talking nonsense like @INCIndia.'",b't_v_rao',14
2020-10-24 11:33:02,b'#NewProfilePic I stand with #Republic  @pradip103 @sucherita_k @republic https://t.co/wbyEshOQVV',b'Pranjali_srv',25
2020-10-24 11:26:52,b'@republic @navikakumar @TimesNow you guy ran a story blaming #Republic please authenticate your story now!',b'borenghosh',128
2020-10-24 11:26:09,b'This may be a good time to commit crime in Maharashtra. The entire state govt &amp; police machinery seems to be occupied in bringing down #Republic @republic media.',b'BhaskarPG',571
2020-10-24 11:17:22,"b'Thank you, @POTUS @realDonaldTrump !  The #FakeNews #MockingbirdMedia is the #EnemyOfThePeople ! You\xe2\x80\x99re doing what must be done to save our #Sovereign #Republic !  #FourMoreYears of exposures for the frauds!  @60Minutes @camanpour @andersoncooper   https://t.co/OGQqU7Bhoy'",b'KazimirRampant',988
2020-10-24 11:08:42,b'#Republic  #Agadhi #ArnabWeAreWithYou . #Maharashtra . Agadhi Sarkar in Maharashtra trying to catch Arnab . Will they ? Can they muzzle the freedom of speech ? Let them keep trying till cows come home. Arnab you will outwit them. Nation with Arnab. https://t.co/utSXpUUAlx',b'shivnandan46',451
2020-10-24 10:55:48,"b'Thank u #Indonesia #Niger #Tunis, #Vietnam, #SouthAfrica, #SaintVincent, #TheGrenadines, #Dominician #Republic for stoppinf the provocations of #France and #Russia. These disrespectful countries can be stopped only if we hold together! #DontBelieveArmenia #Covid_19 #StopArmenia https://t.co/XvXgHgUUW7'",b'Alizadam7',61
2020-10-24 10:45:03,"b'Czech Republic coronavirus daily tally tops 15,000 for first time https://t.co/KIbyOmdtlC #Health https://t.co/eQQT8822Zi #Czech #Republic #coronavirus #daily #tally #tops #15000 #for #first #time #  671'",b'poandpo',3451
2020-10-24 10:42:43,"b'Hey @Twitter your dumbasses should know, that we the @usa are not a #democracy, we are a #Constitutional #Republic. Huge difference morons.'",b'GaryLMcIntireJ1',4
2020-10-24 10:40:50,b'#republic witch',b'Vindhya24160628',23
2020-10-24 10:38:09,b'@republic #Republic fight back',b'DenikaPinto',0
2020-10-24 10:33:26,b'#NirmalaSitharaman Should be sacked and #Mumbai police should file FIR her to investigate if she is also beneficiary from processed of crime in #TRPScam #ParamBirScam #NoMoreFakeCases  #Republic',b'GlowLovely',20
2020-10-24 10:30:53,b'We want fairness&amp;justice.What\xe2\x80\x99s happening to republic is unacceptable @narendramodi @PMOIndia @rashtrapatibhvn @AmitShah please step in.Don\xe2\x80\x99t punish such channels who dare to question the corrupt else noone will dare to do it and India will be land of puppets. #republic #SSRCase https://t.co/JulGgRa9vI',b'parul73',327
2020-10-24 10:26:49,b'@republic @Republic_Bharat is openly inciting the public against @MumbaiPolice . Why is the Police silent. Why is Arnab not arrested yet ? The Nation wants to Know. #Republic @ShivSena @INCMumbai',b'Kamruengineer',1086
2020-10-24 10:22:56,"b'@republic We support u n will keep supporting u. We urge centre to intervene. We nudge @TimesNow why r they so scared to show support? If the same happens to other channels, how do they expect publics support when they hav refused to speak up for Republic? #BharatwithArnabGoswami #Republic'",b'Satyakijeetho',2
2020-10-24 10:11:10,"b""@navikakumar @TimesNow @thenewshour For the 1st time, I'm ashamed of you all. I had the world of respect bcos I thought url really fight for the truth... its turned out to be fake. Disgraceful how u all are sitting by and enjoying the circus with #Republic... you're all a major disappointment!""",b'KarenCaeiro',57
2020-10-24 10:10:52,"b'@BefittingFacts @Being_Humor @tehseenp @HinduITCell @Rajput_Ramesh Mumbai police is very busy in more serious cases of #Republic, @KanganaTeam, @thakkar_sameet etc. Please dont tag them unnecessarily and disturb them!'",b'dilsebhartiya01',107
2020-10-24 10:04:18,b'#Republic NATION WANT TO KNOW.....',b'DBBansal1',2
2020-10-24 10:03:05,"b'3/4. Today is more than 3 weeks since #Republic is being confounded, persecuted, harassed.  Governing bodies are silenced, sadly no one in the institution of governing bodies have been questioning either Mumbai Policing, or any of its officials.   #302B4Election4SSR'",b'HumanAreOne',1563
2020-10-24 10:03:02,"b'1/4. Good Morning #India  Today, 24/10/20, makes it exactly two weeks since #Republic TV News Channel have been categorically targeted in fake cases/FIRs to implicate entire team of Journalists just for daring to  #302B4Election4SSR https://t.co/aaUN27j94m'",b'HumanAreOne',1563
2020-10-24 09:56:57,"b""They're changing clocks by 1 hour &amp; still the UK keeps running on a self image of grandeur 200 years old, when maps were pink and the British bullied the world. Good old times, cuddly old palaces...  #republic #timechange #brexitshambles #littlebritain https://t.co/JruobY1brz""",b'susannekendler',2703
2020-10-24 09:56:51,b'#Republic team is Pride of India. #302B4Election4SSR https://t.co/HeWsaT8mTq',b'EnchanterRay',207
